MCS,Leader Cells,Follower Cells,Total
673,390,1919,2309
674,390,1932,2322
675,390,1938,2328
676,390,1951,2341
677,390,1960,2350
678,390,1972,2362
679,390,1982,2372
680,390,1985,2375
681,390,1990,2380
682,390,1999,2389
683,390,2007,2397
684,390,2013,2403
685,390,2018,2408
686,390,2024,2414
687,390,2028,2418
688,390,2034,2424
689,390,2046,2436
690,390,2051,2441
691,390,2059,2449
692,390,2066,2456
693,390,2072,2462
694,390,2073,2463
695,390,2081,2471
696,390,2085,2475
697,390,2089,2479
698,390,2095,2485
699,390,2099,2489
700,390,2105,2495
